user_id,id,user,created_at,text,fav,RT,follower,follows,check
346000032,1269062569525776384,sakasugiuntiku,2020-06-06 00:24:29,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,39,210,
363401976,1268970348222935040,thiebun993,2020-06-05 18:18:02,RT @nobuogohara: 拙著、本日発売。「PJ機で到着直後のゴーン会長衝撃の逮捕」の”フェイク映像”（朝日）から始まり、突然のレバノン不正出国に至るまで、誤った報道で、事件は根本的に誤解された。その「歪んだ報道の構図」は、政府のコロナ感染拡大対策、倒産危機に直面する日…,0,316,5187,5685,
782889911078629377,1268926180503154695,atsushirabbit1,2020-06-05 15:22:31,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,42,242,
1233606054899933185,1268920303989559298,satohrt1,2020-06-05 14:59:10,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,58,58,
1245750062975598592,1268915127719346177,9PVaIr2RcX2r5zd,2020-06-05 14:38:36,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,75,38,
1214531007619035136,1268907427342069762,uCsJ9m9BZk8Lx08,2020-06-05 14:08:00,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,85,71,
1226204409257840640,1268886597325352960,durilaaa_anne,2020-06-05 12:45:14,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,29,27,
4243134438,1268886592644513793,ayaking1977,2020-06-05 12:45:13,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,183,262,
4591236434,1268872743140745217,cafedrop1125,^,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,1073,619,
1231924172122513409,1268870111001116672,RMTYR_0826,2020-06-05 11:39:43,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,231,233,
860833672169050112,1268864448770408453,elum3421,2020-06-05 11:17:13,RT @aiko33151709: 日本のメディアの皆さん、「日本だけコロナ死者数が少ない」とか「日本の奇跡」と書くのはもうやめませんか。「日本すごい」TVを想起させる！フェイクですよ。確かに欧米と比べれば少ないかもしれないがアジア・大洋州では最悪の死者数で間もなく1000人に…,0,919,13,59,
