id,user,created_at,text,fav,RT,follower,follows,user_id,check
1270893173712150529,CZqlbJTWwp7Y0DA,2020-06-11 01:38:39,RT @acU2cynmMjL36Wl: コロナフェイクのフェイク。情報を操り人の行動も把握済みの奴等なら、フェイク発信も丁度コロナ第二波と混ざる。第二波は既に北海道に来ていてお近くの韓国は解放されて以前同様飲み会三昧、GW北海道に5万人の観光客。茶番劇と見せかけ油断させ第三派…,0,15,32,136,1232217138804322304,
1270881436602519552,ursusmaritimuss,2020-06-11 00:52:00,RT @758gen: 結局のところ、コロナは茶番でフェイクそのもの⁉️ワクチン売る為の、工作だったのかなぁ❣️,0,0,348,620,714666104136867840,
1270878369370894336,jerritama,2020-06-11 00:39:49,@yukanfuji_hodo @katsuyatakasu これはコロナは痛快朝日新聞やフェイクの共同、大臣が自国民の民度を褒めたら発狂するりっけん、拉致など無かった福島みずぽ等らの事ですか？,0,0,6796,2722,361732761,
1270877432807952385,romoa89,2020-06-11 00:36:06,これでもまだマシな方（原因が他のウイルスであって病の存在自体は認めてる）で本物のコロナは存在しない派は数々の症状そのものをフェイク扱いしてるからな…「コロナはフェイク」「コロナは茶番」「マスクを外そう」タグの地獄ぷり https://t.co/X9bqAgaB1l,1,0,564,1480,1473508538,
1270877302562250752,news4946,2020-06-11 00:35:35,RT @G7j6yAcnT4SWaIC: 皆様おはようございます😃石狩地方はそうでもありませんが、梅雨も近づき暑さが大変みたいです。水分補給で熱中症とコロナに気をつけて頑張って下さい💪所で渡部氏が浮気しまくりで番組出演自粛でスポンサーの取扱が賑かです‼️そんなことより…,0,4,292,471,807025501,
1270872476138926080,55keikochan,2020-06-11 00:16:24,国会議員がマスクを外さないと、国民は安心してマスクを外せないかもね。国会議員さんマスク外してください。コロナはフェイクでしょう？＃新型コロナウィルスはただの風邪＃５G反対＃コロナごっこはもううんざり,0,0,1719,2230,737675190,
1270870977874780160,Tubuyaitawa,2020-06-11 00:10:27,RT @AvoidanceCrisis: 無症状感染者からの感染は極めて稀、ということは散々喧伝されてきたコロナ関連のニュース等はデマ又はフェイクということになるのではないか。それに踊らされて外出自粛、ソーシャルディスタンス、マスク着用など、壮大な茶番に付き合ってきた事になろう…,0,1,184,175,2709304886,
1270868165614919680,nnkk101012,2020-06-10 23:59:16,RT @R49V7FmAbGNanNk: 【コロナの時系列の復習🐟】今回は大騒動だからちょっと丁寧にやってくぞ。正直フェイクを見破るのは簡単だが、未来のヤラセを予測するのはめちゃくちゃ難易度高いし人によって流派が違う。わいのやり方なのでまぁ…悪しからず…,0,64,0,0,1219262693682470913,
1270866206992396289,mamayumeradio,2020-06-10 23:51:29,RT @radio_yume: コロナウイルスの情報がたくさん溢れている。これ、ほんと？○○が言ってたから本当じゃない？怖い！不安！どうしよう？これってデマ、ガセ、フェイク、偽情報、誤情報かな？と思ったらこちらをご覧頂けたらと思います。本当に大切な…,0,1,111,318,1252872416054800389,
1270859412542877696,45hiro_55chiko,2020-06-10 23:24:30,RT @G7j6yAcnT4SWaIC: 皆様おはようございます😃石狩地方はそうでもありませんが、梅雨も近づき暑さが大変みたいです。水分補給で熱中症とコロナに気をつけて頑張って下さい💪所で渡部氏が浮気しまくりで番組出演自粛でスポンサーの取扱が賑かです‼️そんなことより…,0,4,2104,2331,1069584502828089345,
